data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible,note
synthetic,50x50,50,50,5,simulated_annealing,43,1.5692317606691983e-14,2.0239230821003065e-16,0.4194024170283228,0.027960161135221522,0.005649080267176032,0.006772439577616751,0.40600606973748654,0.00045428075827658176,750,0.0005413414263166487,,
synthetic,50x50,50,50,5,simulated_annealing,44,1.17571492446656e-14,1.6932395264828676e-16,0.4260120840044692,0.028400805600297948,0.005627583130262792,0.00659638864453882,0.4128155983053148,0.00043394207023084164,750,0.0005504207977404197,,
synthetic,50x50,50,50,10,simulated_annealing,42,0.9635465524944159,0.007620428007537696,0.7259284590836614,0.048395230605577426,0.009751792764291167,0.014810387860052288,0.7003602454205975,0.00045302475336939096,750,0.0009338136605607966,,
synthetic,50x50,50,50,10,simulated_annealing,43,3.04489649758948e-14,2.1195133903115886e-16,0.7285659589106217,0.04857106392737478,0.009645332233048975,0.014909971039742231,0.7029986558482051,0.00045010726898908615,750,0.0009373315411309401,,
synthetic,50x50,50,50,10,simulated_annealing,44,2.2347647828234507,0.016219228364564745,0.7400788329541683,0.04933858886361122,0.009498167084529996,0.014727394096553326,0.7147936334367841,0.0004625740693882108,750,0.0009530581779157122,,
synthetic,100x100,100,100,2,simulated_annealing,42,2.122786525709745e-14,2.976878610974543e-16,0.5264912080019712,0.03509941386679808,0.008266875171102583,0.007832882460206747,0.5087717022979632,0.0007589576998725533,1500,0.0003391811348653088,,
synthetic,100x100,100,100,2,simulated_annealing,43,1.6956718906222287e-14,2.447404315688593e-16,0.5363827500259504,0.03575885000173003,0.008383414940908551,0.008203484816476703,0.5182186888996512,0.0007456516614183784,1500,0.0003454791259331008,,
synthetic,100x100,100,100,2,simulated_annealing,44,1.7439978134078984e-14,2.543554752559594e-16,0.5258999170036986,0.03505999446691324,0.008113792166113853,0.008008803590200841,0.5081556184450164,0.0007596130017191172,1500,0.0003387704122966776,,
synthetic,100x100,100,100,5,simulated_annealing,42,3.0716008711879914e-14,2.2771299084073976e-16,0.8519557910040021,0.05679705273360014,0.015699540148489177,0.01473799324594438,0.8196368296630681,0.0008614184334874153,1500,0.000546424553108712,,
synthetic,100x100,100,100,5,simulated_annealing,43,3.256898755748292e-14,2.1231874951637245e-16,0.8543301250319928,0.05695534166879952,0.013873790856450796,0.014723263797350228,0.8238896346883848,0.000867819762788713,1500,0.0005492597564589232,,
synthetic,100x100,100,100,5,simulated_annealing,44,3.301735434135087e-14,2.2573480294933684e-16,0.8597575419116765,0.05731716946077844,0.013146289042197168,0.014502717065624893,0.8303240205859765,0.0008542850846424699,1500,0.0005535493470573176,,
synthetic,100x100,100,100,10,simulated_annealing,42,6.385531677117432e-14,2.4139221023004807e-16,1.5057799170026556,0.10038532780017703,0.028429955942556262,0.031448261928744614,1.4438781730132177,0.0009757720399647951,1500,0.0009625854486754785,,
synthetic,100x100,100,100,10,simulated_annealing,43,6.398595431794887e-14,2.288882032948187e-16,1.508984333020635,0.100598955534709,0.028551125549711287,0.030930616543628275,1.447457776288502,0.0009631762513890862,1500,0.0009649718508590013,,
synthetic,100x100,100,100,10,simulated_annealing,44,6.715314633043217e-14,2.427487846779718e-16,1.5078312499681488,0.10052208333120992,0.028123374097049236,0.03174751345068216,1.446019371971488,0.0009335322538390756,1500,0.0009640129146476587,,
synthetic,10x10,10,10,2,path_integral,42,6.075000622166257e-16,9.484421575247273e-17,0.11300733301322907,0.007533822200881938,0.0008891638135537505,0.0007358373841270804,0.11105832527391613,8.870335295796394e-05,150,0.0007403888351594409,,
synthetic,10x10,10,10,2,path_integral,43,5.98839006449065e-16,1.0566017696349146e-16,0.1128147499402985,0.007520983329353233,0.000841500936076045,0.0007122920360416174,0.1109726628055796,8.311797864735126e-05,150,0.0007398177520371973,,
synthetic,10x10,10,10,2,path_integral,44,7.176305923866031e-16,1.291452402533062e-16,0.11666916706599295,0.007777944471066197,0.0008623333415016532,0.0007395828142762184,0.11476982454769313,9.063282050192356e-05,150,0.0007651321636512876,,
synthetic,10x10,10,10,5,path_integral,42,2.330210854358529e-15,1.9168576106261054e-16,0.38588704098947346,0.025725802732631566,0.001188330934382975,0.0014486659783869982,0.38282778521534055,0.00011599855497479439,150,0.002552185234768937,,
