method,k,gamma,silhouette,davies_bouldin
qlloyd_medoid,7,1.75,0.03746783950727551,7.585715436908735
qlloyd_medoid,4,2.0,0.03638225815628842,3.3442777913708106
agglo_average,7,1.5,0.03631943128234093,11.696554398785048
qlloyd_mean,4,2.0,0.035851635220952534,5.347065617184026
agglo_average,9,1.25,0.035767383305904635,16.770753099307154
qlloyd_mean,5,1.5,0.03560896000121841,7.651010241496503
qlloyd_medoid,7,1.5,0.03528555868507888,4.606589961481697
qlloyd_medoid,9,1.25,0.03511670189335548,12.53514656414393
qlloyd_medoid,6,1.75,0.03487578935090554,4.043448575591072
qlloyd_medoid,7,7.0,0.03451375649043291,4.285586771901027
agglo_average,4,1.75,0.03390928589471606,2.8221137337777806
agglo_average,6,1.5,0.03328999527010529,13.628394280142288
qlloyd_mean,4,1.75,0.03267149018204075,10.817389845427819
qlloyd_medoid,11,1.25,0.03215202629162033,26.14960010460045
agglo_average,8,1.25,0.03201598957170627,11.566425476453654
qlloyd_medoid,5,1.5,0.03163357349143889,5.870175604758052
qlloyd_mean,10,1.25,0.03125103588736524,17.116953437229803
agglo_average,5,1.5,0.030818084406299195,5.758620502775134
qlloyd_medoid,4,1.75,0.030774711769982126,3.9599382062578883
qlloyd_medoid,7,1.25,0.030287898574061955,8.7100346731981
qlloyd_mean,9,1.25,0.030267842995832225,12.603506797811823
qlloyd_medoid,6,1.5,0.030258498368549946,11.599729237933502
qlloyd_medoid,10,1.25,0.030071350820599026,24.52054751443312
qlloyd_mean,8,1.25,0.029754047429739194,9.767855000990325
qlloyd_mean,4,1.5,0.028848468119841257,5.346167816705282
qlloyd_medoid,8,1.25,0.02801533553169583,11.151732627937363
qlloyd_medoid,6,1.25,0.0275442667901951,5.656105630673028
qlloyd_mean,6,1.5,0.0270777780816378,16.58863087259348
qlloyd_mean,12,1.25,0.02672748658905264,25.745632126352007
qlloyd_medoid,4,1.5,0.026453191670554852,2.971688607620419
agglo_average,12,0.5,0.02622506838393174,19.499233664957853
agglo_average,12,1.0,0.02622506838393174,19.499233664957853
agglo_average,12,0.75,0.02622506784993417,19.49922913354332
agglo_average,7,1.25,0.02592343962905657,12.533701570042686
agglo_average,4,1.5,0.02569545407255347,2.559533861493426
