method,k,gamma,silhouette,davies_bouldin
qlloyd_medoid,9,1.75,0.03262238576080277,11.359940386595433
qlloyd_medoid,8,2.0,0.03191409792502982,14.394698726312942
qlloyd_mean,4,2.0,0.030972532114128856,6.7860547815208
qlloyd_medoid,8,1.75,0.0295352688689551,8.231322727209719
qlloyd_medoid,4,2.0,0.029483143776020345,3.688945888281889
qlloyd_medoid,6,1.75,0.028897480294910016,5.3415266267453
qlloyd_mean,9,1.75,0.027939920409176377,24.928976055844707
agglo_average,6,1.75,0.027902704856321455,7.440450979472838
qlloyd_mean,12,1.5,0.027699697477034074,19.865991371907736
qlloyd_mean,11,1.5,0.0268259798753213,15.524118506741592
qlloyd_medoid,5,1.75,0.02618475347626112,5.263548384285451
qlloyd_medoid,7,2.0,0.02603854360208243,10.03087720577635
agglo_average,12,1.5,0.025994966415940266,22.82282861525709
qlloyd_mean,8,1.75,0.025932429437391376,11.299250300911943
agglo_average,5,1.75,0.025858586492195572,8.49359409734006
agglo_average,11,1.5,0.024879522102443378,30.88894452975796
qlloyd_mean,6,1.75,0.02446593294283992,6.005749002103692
qlloyd_mean,4,1.75,0.024202367407275722,6.287584536681534
agglo_average,10,1.5,0.024200998209144214,27.912410666971375
qlloyd_mean,9,1.5,0.02403752544623516,13.932079405012555
qlloyd_medoid,5,2.25,0.023696300775784405,3.1910715784449812
agglo_average,4,1.75,0.02342081528021237,4.923825172537959
agglo_average,9,1.5,0.02309040630146391,27.87242307103954
qlloyd_medoid,4,1.75,0.02294208446903749,4.945783572259721
qlloyd_medoid,12,1.5,0.022840967470043577,59.0941553102168
qlloyd_medoid,5,7.0,0.022461642382041517,4.051591873655391
agglo_average,8,1.5,0.02222020176667692,17.660871343648505
qlloyd_mean,6,1.5,0.021904202676425497,8.001359878040212
qlloyd_medoid,9,1.5,0.021499785388647608,21.13746895756112
agglo_average,7,1.5,0.02144823285928871,15.950380266282803
qlloyd_medoid,11,1.5,0.020568377468945808,29.70261354267944
qlloyd_medoid,5,2.0,0.02024966233711703,3.7665554173995153
qlloyd_medoid,8,1.5,0.02023845374644156,28.597788852440065
agglo_average,6,1.5,0.020172208756816367,17.30774200137839
qlloyd_mean,7,1.5,0.01958355427453371,8.14002085394575
qlloyd_mean,10,1.5,0.019527005919167298,8.367424869097245
qlloyd_medoid,7,1.75,0.019279357505063356,7.357513450495765
qlloyd_medoid,6,1.5,0.019265255592702667,14.85326198073019
qlloyd_mean,8,1.5,0.017504096321972158,11.562892968749184
qlloyd_medoid,10,1.5,0.017415716743296145,14.477257891002571
agglo_average,5,1.5,0.017060974715123495,16.55543335645398
qlloyd_mean,5,1.5,0.01628329790577476,9.348930411078836
qlloyd_mean,4,1.5,0.015828328538954554,11.347736818938085
agglo_average,4,1.5,0.015578609235395837,21.89875964006472
qlloyd_medoid,4,1.5,0.015520205658075364,28.672166096034026
qlloyd_medoid,5,1.5,0.014531979227351978,26.30710965737968
agglo_average,12,1.25,0.014312412057876247,68.32516821248642
agglo_average,11,1.25,0.013701048845104107,35.254698234077324
agglo_average,10,1.25,0.013052301716990313,34.39724701640206
agglo_average,9,1.25,0.012735237211918785,37.84504986338279
agglo_average,8,1.25,0.01223257533677183,28.905283982281787
qlloyd_medoid,12,1.25,0.01209923753104723,45.046539515858626
