data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible
synthetic,50x50,50,50,2,simulated_annealing,42,6.080336937867363e-15,1.8905980420792073e-16,0.24493079100011528,0.016328719400007685,0.0037244170002850296,0.0033354660045006312,0.2371218989951558,0.0003375190030965314,750,0.00031616253199354106,
synthetic,50x50,50,50,2,simulated_annealing,43,6.192644039520529e-15,1.915259157472239e-16,0.24600275000011607,0.016400183333341072,0.0036696679999295156,0.0033225079969270155,0.2382564189920231,0.0003423190096327744,750,0.00031767522532269747,
synthetic,50x50,50,50,5,simulated_annealing,42,1.4492145139196642e-14,1.8836324785411473e-16,0.38481862500020725,0.025654575000013818,0.005111458998726448,0.0057603029963502195,0.37315568500162044,0.0003529650120981387,750,0.0004975409133354939,
synthetic,50x50,50,50,5,simulated_annealing,43,1.5692317606691983e-14,2.0239230821003065e-16,0.38933383299990965,0.025955588866660644,0.005077707999134873,0.005932560003202525,0.3775366429999849,0.0003567700036910537,750,0.0005033821906666466,
synthetic,50x50,50,50,10,simulated_annealing,42,0.9635465524944159,0.007620428007537696,0.6858784579999337,0.045725230533328914,0.009487791000083234,0.013588752000941895,0.6619146750140317,0.00038261998633970506,750,0.0008825529000187089,
synthetic,50x50,50,50,10,simulated_annealing,43,3.04489649758948e-14,2.1195133903115886e-16,0.6771563329998571,0.04514375553332381,0.009292164998896624,0.013428719002604339,0.6535943670037341,0.0003795179909502622,750,0.0008714591560049788,
movielens,30x30,30,30,2,simulated_annealing,42,40.977488134879486,0.3679590337189954,0.14861562500027503,0.009907708333351669,0.002255542000511923,0.001787708001302235,0.14405743099632673,0.00021024100306021865,450,0.0003201276244362816,
movielens,30x30,30,30,2,simulated_annealing,43,40.60857383529569,0.36464635264998596,0.14758108300020467,0.009838738866680312,0.0022812090001025354,0.0017552410081407288,0.14303547499639535,0.0002105570056301076,450,0.0003178566111031008,
movielens,30x30,30,30,5,simulated_annealing,42,33.88987579263349,0.3043155282839268,0.2318897499999366,0.015459316666662441,0.002923288999681972,0.0031967459967745526,0.225230788990757,0.00021703500715375412,450,0.0005005128644239045,
movielens,30x30,30,30,5,simulated_annealing,43,34.71800936708006,0.3117517876476198,0.21895058400014022,0.014596705600009348,0.0029867510006624798,0.0032171160032703483,0.21214689899761652,0.0002161150014217128,450,0.0004714375533280367,
movielens,50x50,50,50,2,simulated_annealing,42,74.07835598706063,0.4095290255790627,0.24379337499976828,0.01625289166665122,0.00372837500026435,0.0033244939922951744,0.2359665650074021,0.00033652600404820987,750,0.00031462208667653614,
movielens,50x50,50,50,2,simulated_annealing,43,74.16469356942939,0.41000632755893524,0.23397191599997313,0.015598127733331543,0.0036463740007093293,0.0030786959951001336,0.2265430849929544,0.00032496500534762163,750,0.0003020574466572725,
movielens,50x50,50,50,5,simulated_annealing,42,65.83467602545325,0.3639553060103885,0.37677225000015824,0.02511815000001055,0.0050024189995383495,0.0054512410060851835,0.3655932640026549,0.00033360699399054283,750,0.0004874576853368732,
movielens,50x50,50,50,5,simulated_annealing,43,67.16071421673142,0.3712860724821718,0.37133141599997543,0.024755427733331694,0.0049782909991336055,0.005820215000312601,0.35973356100066667,0.0003535109972290229,750,0.00047964474800088887,
feasibility,8x8,8,8,2,exact,42,9.064357607684615e-16,1.62660922646824e-16,0.01007575000039651,0.0006717166666931007,0.0006077110015212384,0.0004108269990865665,0.008886709001671989,4.820199546884396e-05,120,7.405590834726657e-05,True
feasibility,8x8,8,8,5,exact,42,2.6519286915232903e-15,1.9213202506109773e-16,0.013144666999778565,0.000876311133318571,0.0006921670001247548,0.0007187519963736122,0.011560366002413502,4.74550001854368e-05,120,9.633638335344585e-05,True
feasibility,10x10,10,10,2,exact,42,6.075000622166257e-16,9.484421575247273e-17,0.011651457999960257,0.0007767638666640171,0.0006969169999138103,0.00048590699589112774,0.010294367000824423,5.5692001751594944e-05,150,6.862911333882949e-05,True
feasibility,10x10,10,10,5,exact,42,2.330210854358529e-15,1.9168576106261054e-16,0.016053499999998166,0.0010702333333332112,0.0008660430003146757,0.0009360359972561128,0.01406582900108333,5.815900021843845e-05,150,9.377219334055553e-05,True
feasibility,15x15,15,15,2,exact,42,9.955076097815937e-16,1.0708552734870009e-16,0.018601540999952704,0.0012401027333301803,0.001095125000574626,0.0008072460013863747,0.01645418900079676,9.435899937670911e-05,225,7.312972889243004e-05,True
feasibility,15x15,15,15,5,exact,42,3.780151525526519e-15,2.303907942220671e-16,0.02380249999987427,0.0015868333333249514,0.0012915399993289611,0.0013719570010835014,0.02088652799511692,8.890100571079529e-05,225,9.282901331163076e-05,True
feasibility,15x15,15,15,10,exact,42,6.742262948251188e-15,1.6850661943977353e-16,0.17886358300029315,0.011924238866686209,0.002180876999773318,0.003797458002281928,0.17259898199836243,9.927600058290409e-05,225,0.0007671065866593886,True
