method,k,gamma,silhouette,davies_bouldin
agglo_average,6,6.0,0.560092020086679,6.700226835715156
qlloyd_medoid,10,4.0,0.5600727818700545,19.757814600408842
qlloyd_medoid,10,1.75,0.5600224490495174,7.9402006251172565
agglo_average,9,1.5,0.5599707463972372,16.86357471269505
agglo_average,10,8.0,0.5599255960884771,8.668724047939484
qlloyd_mean,8,4.0,0.5598739428588169,1.0539910063786417
agglo_average,5,4.0,0.5597765965101779,4.300821940318746
qlloyd_medoid,7,2.25,0.559757695737834,8.388026462707108
agglo_average,6,5.0,0.5597147505893514,4.303995795389674
qlloyd_medoid,10,6.0,0.5595985111543507,7.942263330850115
qlloyd_mean,11,6.0,0.5595316341200184,5.97746453757796
agglo_average,10,7.0,0.5595219522055911,6.407877522522362
agglo_average,7,8.0,0.5594253966676742,4.816600101084988
qlloyd_medoid,12,6.0,0.5593382388767242,21.450974542042914
qlloyd_medoid,11,4.0,0.5592000065080613,9.349867841356279
agglo_average,5,6.0,0.5591710218983151,3.021994815399466
agglo_average,6,2.5,0.5591112649678388,25.803811763466594
agglo_average,11,8.0,0.5590694776295718,12.565155584350096
agglo_average,7,4.0,0.559006986732789,6.343612428220048
agglo_average,4,4.0,0.5589290207455079,2.8560291747962783
qlloyd_medoid,10,5.0,0.5587909455394288,7.194418078066514
qlloyd_medoid,7,5.0,0.5587751548575897,7.060641075466957
agglo_average,5,3.0,0.5587498533572339,8.499825626556577
agglo_average,8,1.5,0.5586348274953837,11.107723824010801
agglo_average,5,8.0,0.5585657703442735,3.158428583062956
agglo_average,5,5.0,0.5585427040213196,4.103231845760254
agglo_average,7,7.0,0.5585018662873921,6.140149763406693
agglo_average,12,8.0,0.5584982486773555,12.308366471991981
qlloyd_mean,10,4.0,0.5584818722059585,2.4292915390956313
qlloyd_medoid,9,5.0,0.558421733047328,6.151184050093649
qlloyd_medoid,7,7.0,0.5583289530706697,6.881603135346323
qlloyd_mean,11,4.0,0.5582298100766246,5.151032202275763
agglo_average,7,6.0,0.558199176373058,6.406958314502021
agglo_average,6,8.0,0.5581008561210152,3.6793639844292545
qlloyd_medoid,11,6.0,0.558038428367179,14.10327474320311
qlloyd_medoid,9,4.0,0.5579128752102556,10.085082931623424
qlloyd_medoid,12,5.0,0.5578600558700363,8.003242249181257
qlloyd_medoid,8,2.0,0.557838483376873,9.76884154674913
qlloyd_medoid,9,1.75,0.5577292160636921,6.846848889872498
qlloyd_medoid,12,8.0,0.5576873295362385,12.704501862767541
agglo_average,7,1.75,0.5576867932536733,6.893956187562431
qlloyd_mean,8,3.0,0.5576270709318091,1.8816202284538825
qlloyd_mean,10,3.0,0.5576254913634909,5.287185452001303
agglo_average,4,7.0,0.5575965015749744,2.558108644789111
agglo_average,6,2.0,0.5574686610108234,6.7069878618271375
agglo_average,4,5.0,0.5573195547805189,3.7966090453087062
qlloyd_medoid,10,7.0,0.5573110535906006,11.978814171263721
qlloyd_medoid,9,3.0,0.5572499258391258,7.544183681646645
qlloyd_medoid,7,8.0,0.5572215237170807,5.712034834176724
qlloyd_mean,12,6.0,0.5571518068992223,4.032054328159426
agglo_average,4,6.0,0.5571380106598324,2.3645074145842964
qlloyd_medoid,6,7.0,0.5571274048745016,5.658690695062808
agglo_average,7,1.5,0.5571062837014279,8.738667977039416
qlloyd_medoid,10,8.0,0.5570055057433532,8.150036071320962
qlloyd_medoid,6,2.25,0.5569724824283955,9.219742188764307
qlloyd_medoid,5,7.0,0.556972143533135,3.7665638888759005
qlloyd_medoid,11,7.0,0.556752354577388,14.12054377850089
agglo_average,6,7.0,0.5567413014327265,6.477368059685465
agglo_average,4,3.0,0.5567346088050545,8.271011047566345
agglo_average,12,1.25,0.5567087927213459,16.801982305219223
agglo_average,8,7.0,0.5567086057999918,5.95936112343159
qlloyd_medoid,6,6.0,0.5566531253459164,7.76950782513551
qlloyd_medoid,11,1.5,0.5565107675927947,18.595694363332676
agglo_average,5,2.5,0.556509386147743,30.221389827937664
qlloyd_medoid,8,8.0,0.5564311567418032,9.140755822387355
qlloyd_medoid,9,2.0,0.5563767989613873,6.813219634750069
qlloyd_medoid,6,8.0,0.5563606848484759,5.829787928351194
qlloyd_medoid,12,1.5,0.5563378952417063,22.037324811433127
qlloyd_medoid,8,7.0,0.5562923729286235,26.156040651490073
qlloyd_mean,11,3.0,0.556233171124234,6.1295105302446125
qlloyd_mean,10,2.5,0.5561939925956652,2.145114090986653
qlloyd_medoid,7,2.0,0.5560639940931137,4.960282345595348
agglo_average,6,1.75,0.5558838254837015,5.92794823482658
qlloyd_mean,4,5.0,0.5558010256354048,2.1826885795310345
agglo_average,4,8.0,0.5557997867030767,2.271556225323872
agglo_average,5,2.25,0.5557734776305177,5.963653436280814
qlloyd_mean,9,3.0,0.5556839434509302,7.889706789257776
qlloyd_medoid,5,6.0,0.5556527015978975,4.821790818990761
qlloyd_medoid,6,4.0,0.5555527892542264,5.802603724410285
agglo_average,11,1.25,0.5553349490141486,13.454272971675305
qlloyd_mean,5,8.0,0.5552926840663897,2.3689823950199322
qlloyd_medoid,4,8.0,0.5552180941182748,1.9397258750410922
qlloyd_mean,9,4.0,0.5552020972842908,2.7649356310014097
