method,k,gamma,silhouette,davies_bouldin
qlloyd_medoid,7,0.5,0.5454095954021161,23.685616662375143
qlloyd_medoid,7,1.0,0.5454095954021161,23.685616662375143
qlloyd_medoid,7,0.75,0.5454095871995888,23.685774072513844
qlloyd_mean,7,1.75,0.5450474941584563,2.8534050885173756
qlloyd_mean,9,1.75,0.5447808308070774,4.004004014145777
qlloyd_medoid,6,0.5,0.5447549611374333,27.982600989559288
qlloyd_medoid,6,1.0,0.5447549611374333,27.982600989559288
qlloyd_medoid,6,0.75,0.5447549533854984,27.98275534063519
qlloyd_mean,7,1.5,0.5447209545412997,3.380672425412697
agglo_average,6,0.5,0.5446328097317618,22.907766596892582
agglo_average,6,1.0,0.5446328097317618,22.907766596892582
agglo_average,6,0.75,0.54463280492245,22.907792685044342
agglo_average,5,0.5,0.5442132578460845,19.559424516008942
agglo_average,5,1.0,0.5442132578460845,19.559424516008942
agglo_average,5,0.75,0.5442132528348889,19.55942510125967
qlloyd_mean,4,1.5,0.5440889620202916,1.8000122094327502
qlloyd_mean,10,0.5,0.5439247080974317,4.230801793873054
qlloyd_mean,10,1.0,0.5439247080974317,4.230801793873054
qlloyd_mean,10,0.75,0.5439247063150535,4.2308027850291605
qlloyd_medoid,4,1.25,0.543704271116237,3.7338207547562594
qlloyd_medoid,4,1.5,0.5436869667299342,4.847530606670127
qlloyd_mean,5,2.0,0.5436864757144908,0.9495163051692036
qlloyd_mean,11,0.5,0.5431560218767895,4.832736502582608
qlloyd_mean,11,1.0,0.5431560218767895,4.832736502582608
qlloyd_mean,11,0.75,0.5431560205746875,4.832737943133346
qlloyd_medoid,5,0.5,0.5430638794315814,12.77469860083261
qlloyd_medoid,5,1.0,0.5430638794315814,12.77469860083261
qlloyd_medoid,5,0.75,0.5430638719219893,12.774747215632242
agglo_average,4,0.5,0.5430081298927979,8.184851706076019
agglo_average,4,1.0,0.5430081298927979,8.184851706076019
agglo_average,4,0.75,0.543008126180288,8.184851906353991
qlloyd_mean,8,1.25,0.5427069836999447,11.416205186319866
qlloyd_mean,7,1.25,0.5424406488035144,6.477535924856308
qlloyd_mean,4,1.25,0.5417318000900173,2.8870744599932405
qlloyd_medoid,4,0.5,0.5414493611489746,5.534602094303746
qlloyd_medoid,4,1.0,0.5414493611489746,5.534602094303746
qlloyd_medoid,4,0.75,0.541449355915779,5.534603732720593
qlloyd_mean,9,0.5,0.5403883223053014,51.427930073447556
qlloyd_mean,9,1.0,0.5403883223053014,51.427930073447556
qlloyd_mean,9,0.75,0.5403883208969184,51.4281269717031
qlloyd_mean,8,0.5,0.540177422821924,12.267367283963637
qlloyd_mean,8,1.0,0.540177422821924,12.267367283963637
qlloyd_mean,8,0.75,0.5401774189642535,12.267390306487378
qlloyd_mean,7,0.5,0.5398291028266246,12.45083025439159
qlloyd_mean,7,1.0,0.5398291028266246,12.45083025439159
qlloyd_mean,7,0.75,0.5398291012135137,12.450879486780629
qlloyd_mean,4,0.5,0.5394160313903029,1.3199743546139207
qlloyd_mean,4,1.0,0.5394160313903029,1.3199743546139207
qlloyd_mean,4,0.75,0.5394160300452588,1.3199738337243525
qlloyd_mean,12,4.0,0.5392226996076246,2.990689739310611
qlloyd_mean,12,5.0,0.5372311095843284,4.049692357988923
vqe_adiabatic,5,0.5,-0.5031596833317435,1.1535037914973563
